epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,0.4422275002193451,0.13469673204421997,0.86498,0.957
2,0.15738548211574555,0.0947603171467781,0.95222,0.9703
3,0.11800440035820008,0.07548717415332794,0.96374,0.9767
4,0.09879663136929273,0.06639131918102503,0.96958,0.981
5,0.08293694826871156,0.0665546367675066,0.97372,0.9812
6,0.07691895330399275,0.06196269878447056,0.97638,0.9821
7,0.06779987924337387,0.05340665739178658,0.9789,0.9857
8,0.06236772606611252,0.056593552615866065,0.98054,0.9854
9,0.05887676075130701,0.05665847472809255,0.9815,0.984
10,0.05368833972647786,0.0544023402325809,0.9828,0.9854
